date;Fuentes;Comentarios
2014-12-01;;
2014-12-02;;
2014-12-03;;
2014-12-04;Adwords;"Se implementó campaña ""Navidad2014"""
2014-12-05;Adwords;"Se detuvo campaña ""Los Nuevos Regalos 2014"""
2014-12-06;Adwords;Se incrementó el presupuesto en 200 dólares.
2014-12-07;Emails;"Se envió email lanzamiento ""Navidad2014"""
2014-12-08;SocialMedia;Se inició campaña en Social Media. Presupuesto 210 dólares
2014-12-09;Campañas;Se inició campaña en PerúRed. Presupuesto 200 dólares.
2014-12-10;Emails;Nuevo envío de Emails. Se cambió el asunto para mejorar las conversiones. Se esperan resultados los primeros días de enero.
2014-12-11;;
2014-12-12;Campañas;Se inició campaña en Ofertop. Banner oferta personalizada.
2014-12-13;SEO;Se aprecia un pico de visitas a través de SEO. Tráfico de pauta ATL.
2014-12-14;;
2014-12-15;;
2014-12-16;;
2014-12-17;;
2014-12-18;;
2014-12-19;;
2014-12-20;;
2014-12-21;;
2014-12-22;;
2014-12-23;;
2014-12-24;;
2014-12-25;;
2014-12-26;;
2014-12-27;;
2014-12-28;;
2014-12-29;;
2014-12-30;;
2014-12-31;;
