"date","campaign","sessions","ad.cost","ad.clicks","impressions"
2014-01-01,"Brand Search - Deceso, Sepelios y Camposanto",0,1.35,7,21
2014-01-01,"Brand Search - Fondo universitario",2,0.28,1,6
2014-01-01,"Brand Search - Mapfre Autos",21,3.76,20,187
2014-01-01,"Brand Search - Mapfre Trebol Salud",7,1.21,3,10
2014-01-01,"Brand Search - Soat",9,1.37,6,33
2014-01-01,"Categoria Search - Mapfre Trebol Salud",14,14.98,9,84
2014-01-01,"Categorias Search - Decesos, Sepelios y Camposanto",0,0.22,1,9
2014-01-01,"Categorias Search - Mapfre Autos",9,9,9,105
2014-01-01,"Categorias Search - Mapfre Fondo Universitario",11,17.6,7,47
2014-01-01,"Categorias Search - Mapfre SCTR",5,8.6,4,25
2014-01-01,"Categorias Search - SOAT",7,9.21,9,81
2014-01-01,"Competencia Search - Mapfre Autos",2,2.14,2,31
2014-01-01,"Competencia Search - Mapfre Fondo Universitario",0,0,0,85
2014-01-01,"Competencia Search - SOAT",7,12.68,6,42
2014-01-01,"Display - Mapfre Trebol Salud",39,39.23,144,81884
2014-01-01,"Display I - Mapfre Fondo Universitario",41,16.33,66,23374
2014-01-01,"RMKT - Web - Fondo Universitario",21,4.22,18,6880
2014-01-02,"Brand Search - Deceso, Sepelios y Camposanto",0,0.61,9,31
2014-01-02,"Brand Search - Fondo universitario",5,0.73,2,5
2014-01-02,"Brand Search - Mapfre Autos",195,37.41,193,1065
2014-01-02,"Brand Search - Mapfre SCTR",0,0,0,6
2014-01-02,"Brand Search - Mapfre Trebol Salud",5,1.82,4,46
2014-01-02,"Brand Search - Soat",41,9.55,36,107
2014-01-02,"Categoria Search - Mapfre Trebol Salud",14,25.07,13,91
2014-01-02,"Categorias Search - Decesos, Sepelios y Camposanto",0,1.1,1,19
2014-01-02,"Categorias Search - Mapfre Autos",39,47.47,41,274
2014-01-02,"Categorias Search - Mapfre Fondo Universitario",21,30.73,22,281
2014-01-02,"Categorias Search - Mapfre SCTR",21,38.44,31,249
2014-01-02,"Categorias Search - SOAT",14,25.33,25,308
2014-01-02,"Competencia Search - Mapfre Autos",2,19.72,6,108
2014-01-02,"Competencia Search - Mapfre Fondo Universitario",0,5.19,3,502
2014-01-02,"Competencia Search - Mapfre Trebol Salud",2,6.92,1,18
2014-01-02,"Competencia Search - SOAT",9,45.05,19,91
2014-01-02,"Display - Mapfre Trebol Salud",62,63.08,169,109433
2014-01-02,"Display - Marcas de Autos - Mapfre Autos",23,15.93,58,19675
2014-01-02,"Display I - Mapfre Fondo Universitario",128,49.77,202,111770
2014-01-02,"RMKT - Web - Fondo Universitario",18,6.48,30,8956
2014-01-03,"Brand Search - Deceso, Sepelios y Camposanto",0,0.57,7,37
2014-01-03,"Brand Search - Fondo universitario",7,1.06,5,15
2014-01-03,"Brand Search - Mapfre Autos",160,30.68,167,1016
2014-01-03,"Brand Search - Mapfre SCTR",0,0.78,2,5
2014-01-03,"Brand Search - Mapfre Trebol Salud",5,1.15,7,48
2014-01-03,"Brand Search - Soat",55,10.01,37,96
